"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RRAD",0,2.25427673351973,0.751,0.273,0,"3","RRAD"
"CALD11",0,2.14002889405624,0.997,0.701,0,"3","CALD1"
"CCL2",0,2.06893300971162,0.779,0.491,0,"3","CCL2"
"RGS16",0,2.06085072921231,0.823,0.5,0,"3","RGS16"
"TPM1",0,1.96961211774514,0.887,0.373,0,"3","TPM1"
"GJA4",0,1.81726216787894,0.613,0.049,0,"3","GJA4"
"MYH11",0,1.77667576357132,0.326,0.016,0,"3","MYH11"
"COL18A1",0,1.76779573455391,0.889,0.496,0,"3","COL18A1"
"MCAM1",0,1.72089986651201,0.81,0.219,0,"3","MCAM"
"CPE1",0,1.68499408760831,0.916,0.287,0,"3","CPE"
"KCNE4",0,1.65919822951398,0.56,0.107,0,"3","KCNE4"
"PDGFA",0,1.64267608515723,0.734,0.116,0,"3","PDGFA"
"NR2F2",0,1.64265163615484,0.876,0.423,0,"3","NR2F2"
"SYNPO2",0,1.63615486369369,0.699,0.073,0,"3","SYNPO2"
"CRISPLD21",0,1.59855724006611,0.734,0.251,0,"3","CRISPLD2"
"STEAP4",0,1.56395698359313,0.588,0.078,0,"3","STEAP4"
"CCL8",0,1.55758139027345,0.257,0.023,0,"3","CCL8"
"HES4",0,1.55608293854196,0.781,0.225,0,"3","HES4"
"NOTCH3",0,1.51339165911353,0.76,0.125,0,"3","NOTCH3"
"TINAGL11",0,1.50664651588168,0.827,0.23,0,"3","TINAGL1"
"COL4A2",0,1.45843862528847,0.699,0.332,0,"3","COL4A2"
"MYLK",0,1.45569080281406,0.673,0.128,0,"3","MYLK"
"CEBPD1",0,1.45350472001159,0.953,0.869,0,"3","CEBPD"
"LBH",0,1.43036121951475,0.662,0.235,0,"3","LBH"
"COL4A11",0,1.42755983883794,0.654,0.311,0,"3","COL4A1"
"LHFPL61",0,1.41374583247943,0.839,0.474,0,"3","LHFPL6"
"ADIRF1",0,1.39728292349056,0.992,0.772,0,"3","ADIRF"
"AVPR1A",0,1.3244263426648,0.482,0.023,0,"3","AVPR1A"
"EPS8",0,1.32200516089598,0.755,0.285,0,"3","EPS8"
"PDGFRB1",0,1.30949539568014,0.797,0.286,0,"3","PDGFRB"
